Name,Path,Repository,Developer,Version,Tag,Commit
Moodle core,/,git@github.com:moodle/moodle.git,,3.9.6+ (Build: 20210507),MOODLE_39_STABLE,
Merge user accounts,admin/tool/mergeusers,git@github.com:ndunand/moodle-tool_mergeusers.git,,2019082000,master,873a0173abe6583bef8251b577dab860d9168cac
CAS server (SSO) with external database,auth/cas_db,git@github.com:ULCC-QMUL/moodle-auth_cas_db.git,,2016012600,master,b6ef8be3c99a8dbe81c1de94e264e553eca1ba44
External database (sync to other),auth/dbsyncother,git@github.com:ULCC-QMUL/moodle-auth_dbsyncother2.git,1999 onwards Martin Dougiamas (http://dougiamas.com),2018050900,MISCOMMON,adcc71102569a837c7dfb8f36695a86bae244741
OpenID Connect,auth/oidc,git@github.com:Microsoft/moodle-auth_oidc.git,(C) 2014 onwards MicrosoftInc. (http://microsoft.com/),2020020300,v3.8.0.0,85763288e8d2f447d05ffd2640f9855fbc57c90d
SAML2,auth/saml2,git@github.com:catalyst/moodle-auth_saml2.git,Brendan Heywood <brendan@catalyst-au.net>,2020031800,,7241eaa54e9078df4ef1b475e5b7a19e55b2bfaa
$string[pluginname] = "ULCC Single sign on",auth/ulcc_sharedsecret_sso,git@github.com:ULCC-QMUL/moodle-auth_ulcc_sharedsecret_sso.git,&copy; 2011 University of London Computer Centre,201203200101,master,d19c3c3dc337c2946f0834212ced6a13c3e778eb
Accessibility,blocks/accessibility,git@github.com:ULCC-QMUL/moodle-block_accessibility.git,Copyright 2009 onwards Taunton's College (5),2015011600,master,81058b025be4413276b0329f98825352d7caeae9
Talis Aspire Resource Lists,blocks/aspirelists,git@github.com:ULCC-QMUL/talis-block_aspirelists.git,,2018052910,master,484b8454f275f3d095fbbfc11bc2cabeb8e01705
Assessment Information,blocks/assessment_information,git@github.com:ULCC-QMUL/moodle-block_assessment_information.git,2015 Queen Mary University of London Shubhendra Doiphode,2019011806,,9aff4fa7cdb06de63d12928b3bd158cbcbd68957
Assignment Get Feedback,blocks/assign_get_feedback,git@github.com:ULCC-QMUL/moodle-block_assign_get_feedback.git,,2020032602,master,458fa499e4786261b15e44b7ffa6051fbb1e0852
Bulk activity creation,blocks/bulkactivity,git@github.com:doiphode/moodle-block_bulkactivity.git,2019 Queen Mary University of London,2019012002,,86808f178dc65ebbc06065d7bc35fe877112636b
Checklist,blocks/checklist,git@github.com:davosmith/moodle-block_checklist.git,2010 Davo Smith,2020021600,,da2c6a48a31c60c54816af7eaa57ee7dcdbb0a7d
Completion Progress,blocks/completion_progress,git@github.com:/deraadt/moodle-block_completion_progress,2018 Michael de Raadt,2021050400,master,c3006f6bb8369a576ae9b8dc41802a2af15bf1e9
Course Menu,blocks/course_menu,git@github.com:ULCC-QMUL/moodle-block_course_menu.git,,2018052500,Upgrade2020,764ce0601b6e7efe71915aace4bdbcd4d871aa47
Course Profile,blocks/course_profile,git@github.com:ULCC-QMUL/moodle-block_course_profile.git,1999 onwards Martin Dougiamas (http://dougiamas.com),2016061600,develop_36,ebc497ff7ef32b0ca86e063b42449c8d2e83146c
Course Rollover,blocks/course_rollover,git@github.com:ULCC-QMUL/moodle-block_course_rollover.git,,2020030900,Upgrade2020,9891747ec2b964dcfb88b663cb264b75e9cadf43
QM+ Glossary Subscriptions,blocks/glsubs,git@github.com:ULCC-QMUL/moodle-block_glsubs.git,,2019111800,,3445b036138810f9eb646af2df78630a26f3d172
